huuid,depart ,arrivée,type_itinéraire,difficulte,type_sol,longueur,largeur,altitude_min,altitude_max,etat_itineraire
2f6b7cfc-e302-49d2-8135-dcfddf26f173,"6.353486608102956,45.12166512481137","6.384971672787728,45.121389878464576",Sentier,,Cailloux + terre,3021.87,"0,4 m",,,Bon
907cfe35-7354-4d5b-99d9-2e92bfc93e1d,"6.400056711017181,45.119651344179545","6.388940896866119,45.1206128701586",Sentier,,Cailloux + terre,898.28,"0,4 m",,,Bon
d3a9b9c7-12a2-4f0d-8690-86c274e57bc0,"6.388940896866119,45.1206128701586","6.384971672756636,45.12138987750839",Sentier,,Cailloux + terre,331.1,"0,4 m",,,Bon
dfb4c8ec-8f7d-47b4-a2b8-b06c3482fe7c,"6.391030205194402,45.12033883819788","6.398946738784744,45.122106631651405",Sentier,,Cailloux + terre,665.62,"0,4 m",,,Assez bon
d760af8b-0bc2-4975-b29f-60b69652e38c,"6.405371952368392,45.11950457648529","6.403838260879247,45.120279020076715",Sentier,,Cailloux + terre,158.29,"0,4 m",,,Bon
29c15b39-474a-4475-8f4e-eca3e0d99aec,"6.411117292787321,45.11872820991772","6.415287442922735,45.11956108723733",Sentier,,Cailloux + terre,616.08,"0,8 m",,,Bon
b7840b89-3a4b-44fa-b37a-72ac3436e296,"6.405309497561927,45.13505128199385","6.40676752756455,45.13462526213617",Chemin,,Cailloux,261.33,"2,00 m",,,Bon
89b8c76f-0fc5-4b45-a476-d717dbe5c1af,"6.403838260879247,45.120279020076715","6.400056711017181,45.119651344179545",Sentier,,Cailloux + terre,321.75,"0,4 m",,,Bon
4d6d7758-74ff-41c1-9886-8564eb83821e,"6.401814894228019,45.12393277860941","6.398946738784744,45.122106631651405",Sentier,,Cailloux + terre,309.13,"0,4 m",,,Assez bon
3922351a-b738-40f3-8aa8-60d1d8718c8c,"6.406851000030617,45.119290300809205","6.405371952368392,45.11950457648529",Sentier,,Cailloux + terre,136.5,"0,4 m",,,Bon
6777b5ee-fa35-453f-9d05-1b32c0c3b447,"6.401814894228019,45.12393277860941","6.404646199160979,45.13295763345162",Sentier,,Cailloux + terre,1169.36,"0,4 m",,,Assez bon
0a45491c-3166-41e2-85c6-1b70480ff452,"6.409531316908097,45.119026687086766","6.406851000030617,45.119290300809205",Sentier,,Cailloux + terre,227.2,"0,4 m",,,Bon
2635ed71-e181-4336-9d34-315e9ddee40d,"6.411117292787316,45.11872820991774","6.409531316908097,45.119026687086766",Sentier,,Herbe + terre,143.2,"0,4 m",,,Bon
